fifa_rank,fifa_name,country_code,fifa_points,confederation,ranking_date
83,New Zealand,NZL,1283.94,OFC,2025-09-18T07:45:00+00:00
84,Curaçao,CUW,1282.42,CONCACAF,2025-09-18T07:45:00+00:00
85,Zambia,ZAM,1273.0,CAF,2025-09-18T07:45:00+00:00
86,Bulgaria,BUL,1271.52,UEFA,2025-09-18T07:45:00+00:00
87,Haiti,HAI,1269.24,CONCACAF,2025-09-18T07:45:00+00:00
88,Bahrain,BHR,1268.73,AFC,2025-09-18T07:45:00+00:00
89,Angola,ANG,1268.72,CAF,2025-09-18T07:45:00+00:00
90,El Salvador,SLV,1267.75,CONCACAF,2025-09-18T07:45:00+00:00
91,Kosovo,KOS,1262.1,UEFA,2025-09-18T07:45:00+00:00
92,Syria,SYR,1259.32,AFC,2025-09-18T07:45:00+00:00
93,Benin,BEN,1257.3,CAF,2025-09-18T07:45:00+00:00
94,China PR,CHN,1249.06,AFC,2025-09-18T07:45:00+00:00
95,Equatorial Guinea,EQG,1248.68,CAF,2025-09-18T07:45:00+00:00
96,Luxembourg,LUX,1242.61,UEFA,2025-09-18T07:45:00+00:00
97,Mozambique,MOZ,1234.04,CAF,2025-09-18T07:45:00+00:00
98,Guatemala,GUA,1230.73,CONCACAF,2025-09-18T07:45:00+00:00
99,Palestine,PLE,1230.55,AFC,2025-09-18T07:45:00+00:00
100,Belarus,BLR,1223.54,UEFA,2025-09-18T07:45:00+00:00
101,Thailand,THA,1222.2,AFC,2025-09-18T07:45:00+00:00
102,Trinidad and Tobago,TRI,1220.99,CONCACAF,2025-09-18T07:45:00+00:00
103,Armenia,ARM,1219.55,UEFA,2025-09-18T07:45:00+00:00
104,Tajikistan,TJK,1206.15,AFC,2025-09-18T07:45:00+00:00
105,Comoros,COM,1201.83,CAF,2025-09-18T07:45:00+00:00
106,Kyrgyz Republic,KGZ,1201.22,AFC,2025-09-18T07:45:00+00:00
107,Tanzania,TAN,1199.45,CAF,2025-09-18T07:45:00+00:00
108,Madagascar,MAD,1187.59,CAF,2025-09-18T07:45:00+00:00
109,Namibia,NAM,1183.8,CAF,2025-09-18T07:45:00+00:00
110,Mauritania,MTN,1183.28,CAF,2025-09-18T07:45:00+00:00
111,Kenya,KEN,1181.64,CAF,2025-09-18T07:45:00+00:00
112,Libya,LBY,1179.57,CAF,2025-09-18T07:45:00+00:00
113,Lebanon,LBN,1172.3,AFC,2025-09-18T07:45:00+00:00
114,Vietnam,VIE,1169.92,AFC,2025-09-18T07:45:00+00:00
115,The Gambia,GAM,1165.93,CAF,2025-09-18T07:45:00+00:00
116,Sudan,SDN,1163.56,CAF,2025-09-18T07:45:00+00:00
117,Niger,NIG,1160.33,CAF,2025-09-18T07:45:00+00:00
118,Kazakhstan,KAZ,1158.06,UEFA,2025-09-18T07:45:00+00:00
119,Indonesia,IDN,1157.94,AFC,2025-09-18T07:45:00+00:00
120,Togo,TOG,1151.08,CAF,2025-09-18T07:45:00+00:00
121,Korea DPR,PRK,1151.05,AFC,2025-09-18T07:45:00+00:00
122,Sierra Leone,SLE,1150.1,CAF,2025-09-18T07:45:00+00:00
123,Malaysia,MAS,1148.23,AFC,2025-09-18T07:45:00+00:00
124,Azerbaijan,AZE,1148.09,UEFA,2025-09-18T07:45:00+00:00
125,Zimbabwe,ZIM,1133.75,CAF,2025-09-18T07:45:00+00:00
126,Malawi,MWI,1133.6,CAF,2025-09-18T07:45:00+00:00
127,Rwanda,RWA,1133.5,CAF,2025-09-18T07:45:00+00:00
128,Cyprus,CYP,1128.1,UEFA,2025-09-18T07:45:00+00:00
