canonical_name,confederation,elo_code,elo_rating,fifa_rank,fifa_points,form_points,form_max,form_matches,market_value_total,market_value_avg,avg_age,top_player,top_player_value,pct_top5_leagues,wc_exp_raw,elo_n,fifa_n,form_n,value_n,value_avg_n,top5_n,age_n,wc_exp_n
Norway,UEFA,NO,1914,31,1526.23,41.5,51.0,20,562800000.0,21646153.85,24.42,Erling Haaland,200000000.0,0.6538,1.4102108501986765,0.6698369565217391,0.4239849537227988,0.8137254901960784,0.3272593988899361,0.3272593989732784,0.6538,0.8735411859788503,0.03464172842192678
Croatia,UEFA,HR,1912,9,1714.2,36.0,54.0,20,348500000.0,13403846.15,25.85,Josko Gvardiol,75000000.0,0.7692,21.545545950836306,0.6671195652173914,0.734099945556234,0.6666666666666666,0.19901859581407177,0.1990185957685216,0.7692,0.986883653917413,0.5292647914500609
Turkey,UEFA,TR,1911,27,1555.72,40.5,54.0,20,386600000.0,14869230.77,24.92,Arda Güler,45000000.0,0.3462,2.9340190715443146,0.6657608695652174,0.47263788296240095,0.75,0.22181829062130665,0.22181829064920375,0.3462,0.9249528645604702,0.07207396812105969
Japan,AFC,JP,1906,19,1640.47,41.0,52.5,20,343000000.0,13192307.69,26.15,Kaoru Mitoma,45000000.0,0.5385,12.773666679190677,0.6589673913043478,0.6124593734017456,0.780952380952381,0.195727301288093,0.19572730126624313,0.5385,0.9961791929295466,0.3137842060925834
Belgium,UEFA,BE,1894,8,1739.54,30.0,54.0,20,579500000.0,22288461.54,25.31,Jérémy Doku,60000000.0,0.8077,23.988409482132884,0.6426630434782609,0.7759061587448238,0.5555555555555556,0.3372529659051808,0.3372529659533356,0.8077,0.9567117591570787,0.5892735589411653
Uruguay,CONMEBOL,UY,1892,15,1673.65,21.0,49.5,20,558000000.0,21461538.46,25.65,Federico Valverde,130000000.0,0.3077,18.945405918690874,0.6399456521739131,0.6672001055879104,0.42424242424242425,0.32438699639453644,0.324386996393894,0.3077,0.9776748533617128,0.4653925379924505
Switzerland,UEFA,CH,1891,17,1648.3,23.5,48.0,20,305000000.0,11730769.23,25.31,Gregor Kobel,40000000.0,0.7692,14.971710774136747,0.6385869565217391,0.625377394288354,0.4895833333333333,0.17298744819951228,0.1729874481999662,0.7692,0.9567117591570787,0.36777900168347966
Mexico,CONCACAF,MX,1881,14,1688.38,28.0,39.0,20,236000000.0,9076923.08,25.69,Santiago Gimenez,37000000.0,0.1154,17.01651047745569,0.625,0.6915018230412621,0.717948717948718,0.13169666232814206,0.1316966623854726,0.1154,0.9797056348896251,0.41800935978179643
Senegal,CAF,SN,1860,18,1645.23,38.0,48.0,20,342000000.0,13153846.15,24.58,Nicolas Jackson,55000000.0,0.6538,8.883968618466401,0.5964673913043478,0.6203124742217018,0.7916666666666666,0.1951288841015514,0.1951288840557219,0.6538,0.8911878885041843,0.21823405212523725
Austria,UEFA,AT,1830,22,1601.86,35.5,55.5,20,265500000.0,10211538.46,26.46,Xaver Schlager,28000000.0,0.7308,1.7259930814911764,0.5557065217391305,0.5487601669608829,0.6396396396396397,0.1493499693311192,0.14934996931790734,0.7308,0.9999500012499791,0.042398896291797925
Morocco,CAF,MA,1827,11,1706.27,41.5,49.5,20,448500000.0,17250000.0,25.08,Achraf Hakimi,60000000.0,0.5769,10.30905742384168,0.5516304347826086,0.7210169435599625,0.8383838383838383,0.25886031446823154,0.2588603144868203,0.5769,0.9389317369690666,0.2532412564493164
South Korea,AFC,KR,1786,23,1593.19,33.5,45.0,20,185300000.0,7126923.08,25.92,Min-jae Kim,45000000.0,0.1923,11.005659886471364,0.49592391304347827,0.5344563047531059,0.7444444444444445,0.10135691097048308,0.10135691102563489,0.1923,0.9895425632085508,0.2703532459968817
Scotland,UEFA,SQ,1782,43,1485.08,27.5,51.0,20,264500000.0,10173076.92,25.31,Scott McTominay,40000000.0,0.5,1.2350516071258322,0.4904891304347826,0.3560952270964974,0.5392156862745098,0.14875155214457758,0.14875155210738608,0.5,0.9567117591570787,0.030338954174894944
