wpi_rank,canonical_name,confederation,wpi,elo_n,fifa_n,form_n,value_n,value_avg_n,top5_n,age_n,wc_exp_n
12,Switzerland,UEFA,0.573173439291704,0.6862210095497954,0.625377394288354,0.6354166666666666,0.1729874481995122,0.1729874481999662,0.7692,0.9567117591570788,0.3677790016834796
13,Norway,UEFA,0.572753453136454,0.7366984993178718,0.4239849537227988,0.8529411764705882,0.3272593988899361,0.3272593989732784,0.6538,0.8735411859788503,0.0346417284219267
14,Japan,AFC,0.5604149291305193,0.6807639836289222,0.6124593734017456,0.7047619047619048,0.195727301288093,0.1957273012662431,0.5385,0.9961791929295466,0.3137842060925834
15,Colombia,CONMEBOL,0.555806768496294,0.8117326057298773,0.6976391203207233,0.5416666666666666,0.2066783358018042,0.2066783358764875,0.3077,0.9797056348896253,0.2771256390616061
16,Mexico,CONCACAF,0.5396841124796558,0.6834924965893588,0.6915018230412621,0.7692307692307693,0.131696662328142,0.1316966623854726,0.1154,0.9797056348896253,0.4180093597817964
17,Senegal,CAF,0.5296163472294048,0.5538881309686221,0.6203124742217018,0.696969696969697,0.1951288841015514,0.1951288840557219,0.6538,0.8911878885041843,0.2182340521252372
18,United States,CONCACAF,0.513729346553116,0.557980900409277,0.6612442875290779,0.6206896551724138,0.2151758598506949,0.2151758598302416,0.5385,0.7758251355329708,0.2469623270900485
19,Uruguay,CONMEBOL,0.5131210507179618,0.6002728512960437,0.6672001055879104,0.4215686274509804,0.3243869963945364,0.324386996393894,0.3077,0.9776748533617128,0.4653925379924505
20,Austria,UEFA,0.5128489826278249,0.5866302864938608,0.5487601669608829,0.6756756756756757,0.1493499693311192,0.1493499693179073,0.7308,0.9999500012499792,0.0423988962917979
21,Turkey,UEFA,0.462172183691451,0.548431105047749,0.4726378829624009,0.6759259259259259,0.2218182906213066,0.2218182906492037,0.3462,0.9249528645604702,0.0720739681210596
22,Ecuador,CONMEBOL,0.46068934030498865,0.669849931787176,0.5259597776054642,0.5833333333333334,0.1596427449396346,0.1596427449032252,0.1923,0.802957795457551,0.1816106914881452
23,Algeria,CAF,0.4402053656339451,0.5034106412005457,0.3819312688697145,0.7450980392156863,0.1327738132639169,0.1327738133332931,0.4231,0.9852320074371868,0.0668902461581212
24,Sweden,UEFA,0.4396627463963184,0.451568894952251,0.4213287578572252,0.5098039215686274,0.2205616145295693,0.2205616145693445,0.6538,0.8327577462002038,0.2549729002988191
25,Ivory Coast,CAF,0.434300421902535,0.4529331514324693,0.3541484500024749,0.6857142857142857,0.2088924793920081,0.2088924794309453,0.5,0.9538220789305027,0.0920725892544299
26,Australia,AFC,0.4171658462729311,0.529331514324693,0.5184531371158003,0.6470588235294118,0.0180572386038927,0.018057238557316,0.1538,0.986883653917413,0.1949385877251445
27,South Korea,AFC,0.4134672113883778,0.4256480218281037,0.5344563047531059,0.6111111111111112,0.101356910970483,0.1013569110256348,0.1923,0.9895425632085508,0.2703532459968817
